"","Obcrowd.degree","Obcrowd.strength","Obcrowd.between","Obcrowd.ec","Obdisp.degree","Obdisp.strength","Obdisp.between","Obdisp.ec","ObtotalCD.degree","ObtotalCD.strength","ObtotalCD.between","ObtotalCD.ec"
"BBB",2,2,31.5714285714286,1,6,11,14.1595238095238,1,6,13,14.2607142857143,1
"BBG",7,12,0,0,16,119,4.77777777777778,0.00270359621681419,16,131,7.81904761904762,0.00216108035248039
"BBR",0,0,0,0.0780339025974447,0,0,0,0.101053442846004,0,0,0,0.100839059097469
"BGB",0,0,0,0.0893206490396231,2,3,12.3428571428571,0.173294003985413,2,3,18.1440476190476,0.192233678015359
"BGG",2,2,16.3214285714286,0.123589626656279,7,11,69.7904761904762,0.13408558918324,7,13,41.8523809523809,0.142501669917031
"BRB",0,0,0,0.164975431628461,9,23,63.5904761904762,0.40303326543196,9,23,59.1142857142857,0.386293275407745
"BRR",1,1,4.83333333333333,0.116192058060741,5,16,8.77777777777778,0.3300694108525,5,17,10.7928571428571,0.324006061869713
"GBB",10,30,0,0,15,195,13.6444444444444,0.00591000652921858,17,225,12.2833333333333,0.00553133356337246
"GBG",6,9,2.11904761904762,0.0526722354609369,9,33,1,0.00119691897531484,11,42,18.8095238095238,0.00443326820722932
"GGB",8,22,18.8571428571429,0.496730721364915,17,134,14.75,0.124423523057544,18,156,0,0.158523850779815
"GGG",8,19,36.2857142857143,0.881443093436308,15,137,20.75,0.357501461939202,15,156,8.75,0.419385679551949
"GGR",2,2,6.83333333333333,0.0934662910224686,4,7,10.6166666666667,0.186819069531763,6,9,13.0869047619048,0.184368313299688
"GRG",5,11,9.5,0.0294745001828891,14,56,25.0357142857143,0.00489000619106192,14,67,60.4226190476191,0.011267820640563
"GRR",1,1,0.5,0.0983344609073669,8,11,26.4706349206349,0.213121416356372,8,12,35.8380952380952,0.228244645394011
"RBB",0,0,0,0.136890575200975,5,5,43.2563492063492,0.174825216904427,5,5,31.6321428571429,0.17960450730948
"RBG",2,3,4.28571428571429,0.013105172754126,8,17,63.9785714285714,0.107191645871083,8,20,50.3523809523809,0.103034705667635
"RBR",6,11,1.58333333333333,0,10,53,4.01111111111111,0.213689461995418,12,64,11.3928571428571,0.208445620722094
"RGG",1,1,0.5,0.0642464572789379,8,28,26.3428571428571,0.120461617197204,8,29,28.7547619047619,0.12323429134086
"RGR",7,11,50.75,0.109151842570968,11,44,8.61904761904762,0.14512552621137,11,55,2.72619047619048,0.154039378039629
"RRG",8,13,35.5714285714286,0.277962186521871,12,136,12.8095238095238,0.320864793169265,13,149,25.227380952381,0.339919986177258
"RRR",8,10,22.4880952380952,0.0657774082150629,10,16,29.8206349206349,0.113941893129858,12,26,12.8857142857143,0.108216526339261
